FID,image,panoId,EC_id,confidence,col,bottom_row,top_row,FFE_gsv_m,delta_h,distance,sink_dista,camera_h,camera_dem,phi,pano_lat,pano_lon,target_lat,target_lon,target_ele,image_date,edge,is_lowest_,area_m2,STATIC_BFE,Under_fld
3568,16523_29.2860915_-94.8051491_0_312.83.jpg,ZU-dEHgNosK9s7ozdpdjeQ,16523,0.310059,664,484,348,1.783070081,0.915419262,21.79717183,-1.492651779,2.408071041,0.867650819,0.193284813,29.2860915,-94.8051491,29.2862504,-94.80528126,1.783070081,"[2021, 4]",Not_at_edge,Y,221.5330048,10,Y
4011,17285_29.2839392_-94.8097647_0_11.32.jpg,#NAME?,17285,0.927246,100,498,342,1.783212261,0.875637135,19.00890406,-1.483461538,2.359098673,0.907575126,-0.194964764,29.28393918,-94.80976466,29.28411068,-94.80976415,1.783212261,"[2019, 10]",Not_at_edge,Y,98.9664993,10,Y
12967,9200_29.2839392_-94.8097647_0_11.32.jpg,#NAME?,9200,0.927246,100,498,342,1.783212261,0.875637135,19.00890406,-1.483461538,2.359098673,0.907575126,-0.194964764,29.2839392,-94.8097647,29.2841107,-94.80976419,1.783212261,"[2019, 10]",Not_at_edge,Y,98.9664993,10,Y
3004,15541_29.2883982_-94.8197713_0_73.07.jpg,QeJjOu68qu0sdEcTBRY9hQ,15541,0.68457,421,501,323,1.78352445,1.058529894,16.34944919,-1.34572645,2.404256344,0.724994555,0.026160877,29.28839824,-94.81977126,29.28843749,-94.81960906,1.78352445,"[2019, 8]",Not_at_edge,Y,208.4799957,11,Y
10450,5086_29.3061461_-94.7753582_0_72.88.jpg,aExUZniKp94d40ZiZwuB2g,5086,0.891602,387,543,294,1.783624264,1.146581462,11.73071199,-1.301492164,2.448073626,0.637042802,0.002790952,29.3061461,-94.7753582,29.30617697,-94.7752427,1.783624264,"[2019, 9]",Not_at_edge,Y,95.3383026,11,Y
11107,5982_29.3004013_-94.7858503_0_223.66.jpg,rzUpYUGCK7P7BrSj60INCw,5982,0.775879,63,470,340,1.783759457,1.061451947,22.92960071,-1.342925752,2.404377699,0.72230751,-0.219687208,29.3004013,-94.7858503,29.30022411,-94.78597211,1.783759457,"[2019, 10]",Not_at_edge,Y,109.9280014,11,Y
2492,14632_29.2912927_-94.8034173_0_178.00.jpg,zyJs0QD_nlVv6LczPIgSFg,14632,0.879395,174,525,319,1.78378582,1.004974564,14.2724804,-1.399318735,2.404293299,0.778811256,-0.145157389,29.29129273,-94.80341728,29.29116605,-94.80339097,1.78378582,"[2019, 10]",Not_at_edge,Y,114.2969971,10,Y
2166,13997_29.2921289_-94.81102_0_358.82.jpg,UgREWNMYMuPjeQh8TStUXg,13997,0.940918,624,481,332,1.784167062,1.078220472,19.66485981,-1.32626833,2.404488802,0.70594659,0.16592849,29.2921289,-94.81102,29.29230445,-94.81099069,1.784167062,"[2019, 10]",Not_at_edge,Y,89.0224991,11,Y
2640,14900_29.2902594_-94.816728_0_252.28.jpg,5AeNGhswrlPxa2-I_kHGpw,14900,0.881348,620,480,324,1.784171443,1.117209537,18.89994369,-1.249235766,2.366445303,0.666961906,0.163212442,29.2902594,-94.816728,29.29023458,-94.81692044,1.784171443,"[2020, 3]",Not_at_edge,Y,214.1929932,11,Y
2645,14908_29.2902594_-94.816728_0_252.28.jpg,5AeNGhswrlPxa2-I_kHGpw,14908,0.881348,620,480,324,1.784171443,1.117209537,18.89994369,-1.249235766,2.366445303,0.666961906,0.163212442,29.29025938,-94.81672796,29.29023456,-94.8169204,1.784171443,"[2020, 3]",Not_at_edge,Y,214.1929932,11,Y
2921,15416_29.289221_-94.7932323_0_163.50.jpg,LAxQkIj_IF5IVDzw7ke4wQ,15416,0.565918,303,582,331,1.784180884,0.843261064,11.65517124,-1.607759177,2.451020241,0.94091982,-0.056112829,29.289221,-94.7932323,29.28912201,-94.79319184,1.784180884,"[2021, 4]",Not_at_edge,Y,123.7289963,10,Y
1673,13183_29.2951638_-94.789069_0_41.65.jpg,WNGSll0Xxwd39uSCjShYMQ,13183,0.908203,528,479,345,1.784389473,0.950023251,21.8198541,-1.45432393,2.404347181,0.834366222,0.100144815,29.29516381,-94.789069,29.29529709,-94.78890372,1.784389473,"[2019, 10]",Not_at_edge,Y,113.413002,11,Y
9413,29485_29.2569602_-94.845694_0_80.00.jpg,Lb8HIZIwKFvEDl_Afm1ndg,29485,0.717285,616,570,290,1.784678199,1.185304137,10.52646533,-1.348501233,2.53380537,0.599374062,0.161173286,29.2569602,-94.845694,29.25696147,-94.84558571,1.784678199,"[2020, 2]",Not_at_edge,Y,680.6870117,10,Y
12853,9016_29.2853889_-94.8020509_0_42.92.jpg,39sRe0zgrDFCgDJJ0XBzVA,9016,0.884766,629,498,345,1.78485044,0.881843785,19.4194244,-1.522497436,2.404341221,0.903006655,0.169997922,29.2853889,-94.8020509,29.28549517,-94.80189201,1.78485044,"[2019, 10]",Not_at_edge,Y,122.4280014,10,Y
12854,9017_29.2853889_-94.8020509_0_42.92.jpg,39sRe0zgrDFCgDJJ0XBzVA,9017,0.884766,629,498,345,1.78485044,0.881843785,19.4194244,-1.522497436,2.404341221,0.903006655,0.169997922,29.28538892,-94.80205093,29.28549519,-94.80189204,1.78485044,"[2019, 10]",Not_at_edge,Y,122.4280014,10,Y
3757,16854_29.2856199_-94.8178779_0_149.43.jpg,Gi2HgQBvVdcZF3kOAWYNfw,16854,0.941406,131,473,342,1.784982668,1.005437155,22.54974902,-1.379160623,2.384597778,0.779545513,-0.174400583,29.2856199,-94.8178779,29.28546534,-94.81772699,1.784982668,"[2019, 10]",Not_at_edge,Y,126.3320007,10,Y
124,10242_29.3207121_-94.7729686_0_96.67.jpg,jRfpM7U1Y8Xst86MLzRSxw,10242,0.5625,496,572,426,1.785129813,0.833151511,19.9874027,-2.613978454,3.447129965,0.951978302,0.078339884,29.3207121,-94.7729686,29.3206772,-94.77276672,1.785129813,"[2016, 9]",Not_at_edge,Y,365.7900085,11,Y
4972,19321_29.278503_-94.8088018_0_358.41.jpg,8qpVI7VVPKwKAPXkF5mYDQ,19321,0.941406,410,522,358,1.785183273,0.736444453,17.74207942,-1.708172818,2.444617271,1.048738821,0.018489067,29.278503,-94.8088018,29.27866306,-94.80880349,1.785183273,"[2019, 10]",Not_at_edge,Y,146.0319977,-9999,Nodata
10150,4570_29.3135948_-94.7691558_0_239.20.jpg,uHy6RI71ho547ZLOQYieXQ,4570,0.881348,402,516,348,1.785297269,0.914757092,17.42177608,-1.604550283,2.519307375,0.870540177,0.012559726,29.3135948,-94.7691558,29.31351602,-94.76931099,1.785297269,"[2021, 3]",Not_at_edge,Y,213.1179962,11,Y
13402,9839_29.2783738_-94.8093025_0_13.67.jpg,l4R9jGmU7N2dJPlUKPEU0g,9839,0.587402,619,485,361,1.785723849,0.734476024,23.77606901,-1.669835871,2.404311895,1.051247824,0.162872764,29.2783738,-94.8093025,29.27857125,-94.80920689,1.785723849,"[2019, 10]",Not_at_edge,Y,151.8390045,-9999,Nodata
