,FID,FID_1,OBJECTID,Parcel_ID,area_m2,image,panoId,EC_id,confidence,col,bottom_row,top_row,FFE_gsv_m,delta_h,distance,sink_dista,camera_h,camera_dem,phi,pano_lat,pano_lon,target_lat,target_lon,image_date,edge,is_lowest_,SFHA_TF,STATIC_BFE,Under_fld,area_m2,area_ft2,FFE_gsv_m,FFE_gsv_ft,STATIC_BFE,FFE_need_Elevate,FFE_elevation_ft,BFE_MINUS_FFE,galveston_building_systems_location_factor_2021,galveston_area_modification_factor_2015,construction_index_2015,construction_index_1998,rsmeans_construction_index_2015,rsmeans_construction_index_2021,ENR_BCI_index_2015,ENR_BCI_index_2021,PCI_Family_house_construction_1998,PCI_Family_house_construction_2015,PCI_Family_house_construction_2021,cost_1998,cost_2015,cost_2021_RSMeans,cost_2021_ENR_BCI,cost_2021_PCI_Family_house,is_residential
23,23,618,402524,2965-0028-0011-002,147.9019928,15465_29.2883985_-94.8252508_0_324.27.jpg,cXRUHsnY3TGfT2gfn916lA,15465,0.41333,77,426,379,3.805927845,1.743002745,63.29335938,-1.814057974,3.557060719,2.0629251,-0.210363302,29.2883985,-94.8252508,29.2887822,-94.82573322,2013,Not_at_edge,Y,T,11,N,147.9019928,1592.003801,3.805927845,12.48663991,11,N,0,-1.486639911,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
24,24,619,402525,5580-0000-0087-000,103.447998,15280_29.2887112_-94.8205146_0_14.76.jpg,4yR0-iNz9kKSN7vsosA6vA,15280,0.897461,564,482,361,3.033927961,0.679214521,24.23196146,-1.660906748,2.340121269,2.35471344,0.124946886,29.28871115,-94.82051459,29.28891397,-94.8204215,2019,Not_at_edge,Y,T,11,Y,103.447998,1113.504983,3.033927961,9.953831893,11,Y,1.046168107,1.046168107,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,18929.58472,34526.41068,39457.23315,36271.01216,39592.70715,Y
25,25,628,402534,2965-0042-0009-000,107.1179962,15397_29.2891113_-94.8225406_0_131.63.jpg,bPHj6XQqSq2n8ovfn6gIkg,15397,0.406982,52,388,260,4.678335153,2.387440406,23.51195158,-0.063938893,2.451379299,2.290894747,-0.227317435,29.28911133,-94.82254062,29.28900977,-94.82232818,2020,Not_at_edge,Y,T,11,N,107.1179962,1153.008515,4.678335153,15.34886861,11,N,0,-4.348868612,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
26,26,638,402545,2965-0024-0015-000,39.0196991,15523_29.2882204_-94.8296021_0_12.58.jpg,kVIJxcoKSrmgaI9_oj--yw,15523,0.533203,67,481,406,2.879072325,0.817852633,39.72708406,-2.625468357,3.44332099,2.061219692,-0.21769236,29.2882204,-94.8296021,29.28857882,-94.82960134,2017,Not_at_edge,Y,T,11,Y,39.0196991,420.0045456,2.879072325,9.445775344,11,Y,1.554224656,1.554224656,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,7140.077275,13023.06649,14882.9305,13681.11523,14934.03014,Y
27,27,701,402611,6098-0000-0004-001,138.6580048,15647_29.2885932_-94.8173434_0_178.43.jpg,Toa5h6DTI-EF4DoEhf_7Yg,15647,0.519531,346,476,334,3.471824346,1.05670136,20.49456444,-1.315213742,2.371915102,2.415122986,-0.026509505,29.28859318,-94.81734339,29.28840855,-94.81733202,2020,Not_at_edge,Y,T,11,N,138.6580048,1492.502342,3.471824346,11.39049982,11,N,0,-0.390499823,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
28,28,736,402650,5580-0000-0107-000,257.4819946,15619_29.2881511_-94.8211254_0_87.77.jpg,Ht-yxlCTo63NjSrK7hM6hg,15619,0.405029,306,534,417,3.147507654,0.797889696,24.90131841,-2.602566494,3.40045619,2.349617958,-0.054025418,29.2881511,-94.8211254,29.28817195,-94.82087023,2013,Not_at_edge,Y,T,11,Y,257.4819946,2771.513124,3.147507654,10.32646868,11,Y,0.673531319,0.673531319,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,47115.7231,85936.21201,98209.02568,90278.52388,98546.22039,Y
29,29,760,402679,2965-0045-0008-000,171.3139954,15627_29.2882724_-94.8257366_0_192.84.jpg,unjJiJpBNSJzE4kx5zo7pA,15627,0.526367,710,400,268,5.222024383,3.19335288,22.60590804,-0.246062575,3.439415455,2.028671503,0.224334723,29.28827236,-94.82573664,29.28808858,-94.82583751,2013,Not_at_edge,Y,T,11,N,171.3139954,1844.0085,5.222024383,17.13262593,11,N,0,-6.132625928,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
30,30,689,402597,2965-0042-0021-000,108.5579987,15581_29.2881978_-94.8224378_0_327.49.jpg,11yiWWq2KR-6kzTeUyqr7g,15581,0.498535,478,564,433,2.913897796,0.653177543,22.25540632,-2.789317565,3.442495108,2.260720253,0.065497996,29.2881978,-94.8224378,29.28837382,-94.82254799,2013,Not_at_edge,Y,T,11,Y,108.5579987,1168.508573,2.913897796,9.560032139,11,Y,1.439967861,1.439967861,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,19864.64574,36231.90509,41406.29444,38062.68432,41548.46043,Y
31,31,179,400441,3505-0554-0007-000,693.0479736,10717_29.308503_-94.7836669_0_283.33.jpg,cOEK2YDdml1k2oD94S8gog,10717,0.725098,578,515,328,2.686373646,0.980191524,15.78499928,-1.42972893,2.409920454,1.706182122,0.135237282,29.308503,-94.7836669,29.30855422,-94.78381851,2021,Not_at_edge,Y,T,12,Y,693.0479736,7459.906302,2.686373646,8.813561831,12,Y,3.186438169,3.186438169,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,133456.4453,243416.4356,278179.4824,255716.1409,279134.5947,Y
32,32,227,400489,3505-0384-0011-000,689.4949951,10061_29.3023982_-94.7945623_0_326.48.jpg,NmZXEOQJ4x9FRLynY75pqw,10061,0.325439,472,506,395,3.155605318,1.206382515,26.25962077,-2.231179712,3.437562227,1.949222803,0.062022931,29.3023982,-94.7945623,29.30260344,-94.79469731,2018,Not_at_edge,Y,T,12,Y,689.4949951,7421.66236,3.155605318,10.35303582,12,Y,1.64696418,1.64696418,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,126168.2601,230123.2293,262987.8325,241751.2358,263890.7852,Y
33,33,764,402683,2965-0044-0013-001,102.0540009,15741_29.2879412_-94.824078_0_282.69.jpg,0_DiTDHTc-Z1FxnpfT9q3Q,15741,0.645508,692,458,358,3.274982531,0.94393738,29.46396353,-1.50742666,2.45136404,2.331045151,0.212030996,29.28794116,-94.82407799,29.28805282,-94.82435317,2020,Not_at_edge,Y,T,11,Y,102.0540009,1098.500123,3.274982531,10.74469334,11,Y,0.255306657,0.255306657,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,18674.5021,34061.15551,38925.53346,35782.24789,39059.1819,Y
34,34,776,402695,6520-0000-0029-000,150.7819977,15747_29.2876838_-94.8314548_0_100.93.jpg,afXoRv9cWJGIOkHgWswl_w,15747,0.922852,658,559,409,2.961557889,1.189443016,19.74607529,-2.381865835,3.571308851,1.772114873,0.18891313,29.2876838,-94.8314548,29.28761777,-94.83126606,2016,Not_at_edge,Y,T,11,Y,150.7819977,1623.003916,2.961557889,9.716397274,11,Y,1.283602726,1.283602726,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,27591.06657,50324.42654,57511.41204,52867.2935,57708.87397,Y
