FID,FID_1,OBJECTID,Parcel_ID,area_m2,image,panoId,EC_id,confidence,col,bottom_row,top_row,FFE_gsv_m,delta_h,distance,sink_dista,camera_h,camera_dem,phi,pano_lat,pano_lon,target_lat,target_lon,image_date,edge,is_lowest_,SFHA_TF,STATIC_BFE,Under_fld
7512,25927,561183,4188-0004-0016-000,140.4709930,25931_29.1841951_-94.9758781_0_309.53.jpg,YT7rcbos4uzWfv7JQTElzA,25931,0.370361000000000,115,457,391,3.088004870000000,1.147556109000000,44.845866350000001,-2.276050764000000,3.423606873000000,1.940448761000000,-0.185207773000000,29.184195100000000,-94.975878100000003,29.184390749999999,-94.976281680000000,2013,Not_at_edge,Y,T,13.000000000000000,Y
7513,25942,561198,4188-0004-0003-000,155.7519989,25943_29.1840922_-94.976046_0_308.85.jpg,8rBotNCZbiGnHfqCjreAvw,25943,0.821289000000000,371,374,192,5.520762699000000,3.553304808000000,15.985329569999999,0.111535685000000,3.441769123000000,1.967457891000000,-0.009070903000000,29.184092199999998,-94.976045999999997,29.184181649999999,-94.976174920000005,2013,Not_at_edge,Y,T,13.000000000000000,N
7514,25946,561202,4188-0004-0018-000,103.3550034,25947_29.184352_-94.9767977_0_160.79.jpg,iEm0iI21Uu9LEm3dRWrP1Q,25947,0.616211000000000,593,549,429,2.498321137000000,0.670120081000000,24.501076139999999,-2.791253248000000,3.461373329000000,1.828201056000000,0.145157389000000,29.184351970000002,-94.976797719999993,29.184134900000000,-94.976750120000005,2013,Not_at_edge,Y,T,13.000000000000000,Y
7515,25948,561204,4188-0003-0006-000,124.0260010,25949_29.1839913_-94.9750167_0_323.11.jpg,_H2SyZXH-sERht9kSVc22Q,25949,0.901367000000000,331,413,258,5.121212189000000,3.063854639000000,18.903861039999999,-0.382273253000000,3.446127892000000,2.057357550000000,-0.036965501000000,29.183991299999999,-94.975016699999998,29.184123830000001,-94.975139029999994,2016,Not_at_edge,Y,T,13.000000000000000,N
7516,25960,561216,4188-0002-0011-000,158.4459991,25961_29.1841038_-94.9748389_0_115.45.jpg,Ez5ap2fbkOo0TT4eIhTV5g,25961,0.298340000000000,480,625,453,2.627456803000000,0.534291167000000,16.854344430000001,-2.839656930000000,3.373948097000000,2.093165636000000,0.067234673000000,29.184103799999999,-94.974838899999995,29.184029379999998,-94.974687790000004,2016,Not_at_edge,Y,T,14.000000000000000,Y
7517,25970,561226,4198-0003-0011-000,109.4400024,25971_29.1836216_-94.9773624_0_325.71.jpg,MKfesTsF4GLVnY8-QnOZjw,25971,0.683105000000000,149,348,147,6.291259191000000,4.352285883000000,14.666145190000000,0.363577864000000,3.988708019000000,1.938973308000000,-0.162193295000000,29.183621599999999,-94.977362400000004,29.183717450000000,-94.977466350000000,2008,Not_at_edge,Y,T,13.000000000000000,N
7518,25971,561227,4188-0002-0012-000,163.6020050,25972_29.1839364_-94.9751085_0_145.21.jpg,x7GreFfUYPNbcy8l0czT_Q,25972,0.518555000000000,84,615,443,2.723807523000000,0.668569991000000,17.180768310000001,-2.722314170000000,3.390884161000000,2.055237532000000,-0.206355491000000,29.183936400000000,-94.975108500000005,29.183829920000001,-94.974980130000006,2016,Not_at_edge,Y,T,14.000000000000000,Y
7519,25973,561229,4188-0003-0017-000,129.2740021,25974_29.1839463_-94.9762785_0_159.10.jpg,EPVj6onj3E6Theucdomgxg,25974,0.671387000000000,427,400,227,5.114681847000000,3.174475796000000,16.727149140000002,-0.198330038000000,3.372805834000000,1.940206051000000,0.029995951000000,29.183946270000000,-94.976278460000003,29.183803730000001,-94.976221960000004,2013,Not_at_edge,Y,T,13.000000000000000,N
7520,25976,561232,4198-0003-0012-000,183.8090057,25977_29.1835127_-94.9775319_0_324.81.jpg,vzYMKgrQUh_9So-XhDq27Q,25977,0.785645000000000,531,574,403,3.729325846000000,1.729260519000000,17.103414409999999,-2.255559608000000,3.984820127000000,2.000065327000000,0.102907103000000,29.183512700000001,-94.977531900000002,29.183647279999999,-94.977617940000002,2008,Not_at_edge,Y,T,13.000000000000000,Y
7521,25982,561238,4198-0003-0013-000,157.2850037,25983_29.1834039_-94.977705_0_339.92.jpg,TlrPLmZIiwFkekJxCg_SUg,25983,0.375244000000000,396,333,156,6.534375175000000,4.510915502000000,16.436763140000000,0.573448642000000,3.937466860000000,2.023459673000000,0.008373217000000,29.183403899999998,-94.977705000000000,29.183543600000000,-94.977761689999994,2008,Not_at_edge,Y,T,13.000000000000000,N
7522,25983,561239,4198-0003-0005-000,118.6380005,25988_29.1836216_-94.9773624_0_115.71.jpg,MKfesTsF4GLVnY8-QnOZjw,25988,0.871582000000000,316,349,211,6.427826746000000,4.488853438000000,21.104186779999999,0.500145419000000,3.988708019000000,1.938973308000000,-0.046717757000000,29.183621630000001,-94.977362429999999,29.183547130000001,-94.977162750000005,2008,Not_at_edge,Y,T,13.000000000000000,N
7523,25988,561244,4188-0003-0001-000,117.4759979,25989_29.1833168_-94.9760982_0_308.68.jpg,ipouNb2IGzD_aD7p54qQTA,25989,0.395752000000000,672,342,192,5.980535475000000,3.993735043000000,19.785201260000001,0.554874150000000,3.438860893000000,1.986800432000000,0.198990851000000,29.183316800000000,-94.976098199999996,29.183453700000001,-94.976228730000003,2013,Not_at_edge,Y,T,13.000000000000000,N
7524,25989,561245,4198-0002-0008-000,243.5919952,25990_29.1832856_-94.9764432_0_309.49.jpg,BMBJM3gbkvouExMCyXW0Jg,25990,0.662598000000000,189,504,383,3.305766860000000,1.422898451000000,24.264607280000000,-2.013224205000000,3.436122656000000,1.882868409000000,-0.135237282000000,29.183285600000001,-94.976443200000006,29.183400769999999,-94.976655350000001,2013,Not_at_edge,Y,T,13.000000000000000,Y
7525,25992,561248,4188-0002-0004-000,124.7699966,25986_29.183658_-94.9755636_0_115.24.jpg,BLaaptkaJKL6SgzCcTTTZg,25986,0.414795000000000,248,448,393,3.129315761000000,1.032660631000000,53.132326689999999,-2.399087044000000,3.431747675000000,2.096655130000000,-0.094615147000000,29.183658000000001,-94.975563600000001,29.183495470000000,-94.975049700000000,2016,Not_at_edge,Y,T,14.000000000000000,Y
7526,26006,561262,4198-0002-0011-000,98.8492966,26001_29.1830768_-94.9767715_0_293.43.jpg,xTJwc8e_hVS0tWijlp9Ecw,26001,0.932129000000000,142,413,295,4.882001826000000,2.837692687000000,25.003317599999999,-0.498905471000000,3.336598158000000,2.044309139000000,-0.167285591000000,29.183076799999998,-94.976771499999998,29.183130779999999,-94.977021089999994,2013,Not_at_edge,Y,T,13.000000000000000,N
