CLIENT COORDINATES AND CENTROID NUMBER
x, y, centroid_no
29.216783, -94.914758, 1
29.300621, -94.782993, 2
29.300621, -94.782993, 2
29.277323, -94.837133, 4
29.297886, -94.806714, 5
29.279017, -94.837278, 4
29.302274, -94.776918, 2
29.261092, -94.847546, 4
29.314986, -94.775782, 2
29.275223, -94.827456, 0
29.139494, -95.043712, 3
29.278157, -94.837593, 4
29.307793, -94.78551, 2
29.275817, -94.839529, 4
29.27806, -94.836771, 4
29.296916, -94.784959, 2
29.174933, -94.985454, 6
29.302539, -94.781278, 2
29.27229, -94.876588, 7
29.2887, -94.799749, 5
29.2887, -94.799749, 5
29.270497, -94.840619, 4
29.308197, -94.784341, 2
29.271795, -94.880346, 7
29.115993, -95.07773, 3
29.287244, -94.839672, 4
29.289921, -94.796297, 5
29.308872, -94.785181, 2
29.29284, -94.798758, 5
29.29284, -94.798758, 5
29.29284, -94.798758, 5
29.29284, -94.798758, 5
29.269832, -94.84216, 4
29.279219, -94.838696, 4
29.265009, -94.852125, 4
29.305835, -94.774975, 2
29.297702, -94.81189, 5
29.297702, -94.81189, 5
29.11541, -95.078459, 3
29.260784, -94.875028, 7
29.27626, -94.833505, 4
29.287248, -94.839671, 4
29.300623, -94.782976, 2
29.271814, -94.880366, 7
29.297442, -94.800177, 5
29.315536, -94.76881, 2
29.272303, -94.876601, 7
29.291379, -94.807524, 5
29.281103, -94.826451, 0
29.261039, -94.844933, 4
29.287317, -94.808738, 5
29.287317, -94.808738, 5
29.320148, -94.771969, 2
29.28458, -94.820644, 0
29.282215, -94.869832, 7
29.306591, -94.788935, 2
29.303707, -94.779677, 2
29.282295, -94.827753, 0
29.295056, -94.794998, 5
29.275659, -94.835165, 4
29.310841, -94.783335, 2
29.282223, -94.826347, 0
29.234499, -94.9003, 7
29.277593, -94.827361, 0
29.298388, -94.809079, 5
29.307355, -94.776258, 2
29.303207, -94.804245, 5
29.303207, -94.804245, 5
29.282263, -94.871238, 7
29.282084, -94.82558, 0
29.115966, -95.077719, 3
29.139159, -95.042788, 3
29.26501, -94.852151, 4
29.301343, -94.778871, 2
29.308076, -94.775745, 2
29.305166, -94.783393, 2
29.283378, -94.819648, 0
29.30299, -94.803458, 5
29.296924, -94.804911, 5
29.288744, -94.821251, 0
29.307242, -94.776823, 2
29.242807, -94.901835, 7
29.275092, -94.834564, 4
29.278211, -94.825912, 0
29.278211, -94.825912, 0
29.273437, -94.843182, 4
29.279055, -94.827084, 0
29.179097, -94.977776, 6
29.308684, -94.785984, 2
29.298503, -94.80637, 5
29.272285, -94.842973, 4
29.273535, -94.837498, 4
29.278455, -94.829912, 0
29.278455, -94.829912, 0
29.258944, -94.846645, 4
29.300647, -94.786873, 2
29.300647, -94.786873, 2
29.303101, -94.77585, 2
29.301392, -94.79983, 5
29.279982, -94.826607, 0
29.305494, -94.787443, 2
29.305494, -94.787442, 2
29.305494, -94.787443, 2
29.30604, -94.776231, 2
29.291415, -94.807627, 5
29.279221, -94.838694, 4
29.276507, -94.845643, 4
29.270318, -94.824193, 0
29.245174, -94.873628, 7
29.281756, -94.826759, 0
29.293941, -94.79063, 5
29.276917, -94.837267, 4
29.305427, -94.785741, 2
29.305427, -94.785741, 2
29.138202, -95.046981, 3
29.28854, -94.809093, 5
29.302516, -94.781431, 2
29.288239, -94.801303, 5
29.273859, -94.828581, 0
29.274181, -94.83544, 4
29.274181, -94.83544, 4
29.287957, -94.804195, 5
29.279743, -94.827307, 0
29.174103, -94.988347, 6
29.290962, -94.800659, 5
29.261141, -94.847029, 4
29.310009, -94.784021, 2
29.281263, -94.87806, 7
29.161469, -95.007526, 6
29.2608, -94.843807, 4
29.280798, -94.826378, 0
29.27912, -94.837929, 4
29.30542, -94.777349, 2
29.278455, -94.829948, 0
29.277925, -94.833254, 4
29.279352, -94.829778, 0
29.24446, -94.876924, 7
29.294123, -94.810135, 5
29.286573, -94.838992, 0
29.303499, -94.777938, 2
29.276815, -94.836133, 4
29.139713, -95.043674, 3
29.137215, -95.048057, 3
29.276836, -94.829406, 0
29.274909, -94.82733, 0
29.29868, -94.806694, 5
29.183916, -94.974672, 6
29.277112, -94.826177, 0
29.192949, -94.984183, 6
29.319103, -94.771828, 2
29.254024, -94.87354, 7
29.199924, -94.943298, 1
29.278175, -94.836868, 4
29.307851, -94.783556, 2
29.277112, -94.826169, 0
